	gesprek/noun	zogezegd/adj	bezinning/noun	verkiezingsnederlaag/noun	water/noun	demonstratie/noun	pedagoog/noun	bijzonder/adj	cyclus/noun	omgeving/noun	rust_periode/noun	bad/noun	die/det	verlaging/noun	voorteken/noun	onderhandeling/noun	behandeling/noun	tik/noun	hoe/adj	kritiek/noun	thee/noun	invloed/noun	samenstelling/noun	verschuiving/noun	eigenschap/noun	buitengewoon/adj	zo/adv	dynamiek/noun	evolutie/noun	interesse/noun	het/det	gevolg/noun	rust/noun	advies/noun	commissie/noun	effect/noun	min/adj	heel/adj	Haring/name	weg/noun	bestanddeel/noun	ontnuchtering/noun	concurrentie/noun	vuur/noun	nederlaag/noun	schok/noun	sanering/noun	periode/noun	verplichting/noun	begrotingstekort/noun	uitwerking/noun	oppositie/noun	erg/adj	reflecteer/verb	boodschap/noun	het/noun	functie/noun	dat/comp	klimaat/noun	kracht/noun	medisch/adj	samenwerking/noun	alternatief/noun	toepassing/noun	wending/noun	muziek/noun	dat/det	les/noun	ander/adj	werk/noun	suggestie/noun	compensatie/noun	werking/noun	zeer/adv	cluster/noun	christendom/noun	of/vg	werkelijkheid/noun
het/noun	0.92083037	0.87825304	0.8979866	0.91852754	0.9547666	0.9357107	0.9055647	0.80411315	0.9174073	0.91228276	0.9015378	0.9326019	0.7903358	0.9266099	0.87905335	0.9362338	0.8856072	0.9267701	0.69707716	0.8752301	0.9409564	0.9372972	0.9249188	0.8879565	0.8226881	0.7570534	0.65218234	0.90444165	0.83857787	0.92870975	0.86580074	0.8703009	0.9417718	0.92534864	0.9239926	0.8739594	0.766409	0.84568083	0.92799354	0.94360685	0.896372	0.9189134	0.91378355	0.95932204	0.86871743	0.89641845	0.9221889	0.9295671	0.92953354	0.9322291	0.8635126	0.91173565	0.7032789	0.9176852	0.86617184	0.0	0.91420853	0.62336993	0.8707284	0.9274177	0.9002341	0.9120072	0.8450994	0.88067216	0.7884902	0.9023306	0.5276321	0.9129776	0.9311797	0.9119681	0.82888246	0.92784244	0.93928874	0.76312846	0.9192796	0.89633113	0.9008762	0.81271434
functie/noun	0.8520863	0.8351456	0.84782	0.9065153	0.93952763	0.91391593	0.858621	0.850296	0.8724491	0.8381032	0.903934	0.89193404	0.7956933	0.86764145	0.9149839	0.8455757	0.83128667	0.8983111	0.89073616	0.86252093	0.93446046	0.7961017	0.80424744	0.8230364	0.73947775	0.8546451	0.891189	0.80144256	0.80963004	0.85497856	0.8158204	0.8899425	0.9327593	0.7944119	0.776997	0.8272072	0.8725874	0.9115348	0.9402086	0.92122966	0.82140714	0.95378023	0.88335896	0.9534702	0.9250634	0.8937926	0.846661	0.9094862	0.7516777	0.9172276	0.8188276	0.863348	0.90433186	0.87070465	0.8570542	0.91420853	0.0	0.8936553	0.83659357	0.8200773	0.7849813	0.78833956	0.8239058	0.768756	0.8934859	0.88725436	0.8731525	0.85852623	0.80571574	0.77377576	0.8146906	0.81211126	0.7216462	0.84215	0.82329106	0.8267425	0.8214294	0.87269104
dat/comp	0.83239233	0.81527704	0.8463417	0.8558271	0.96285194	0.89658535	0.81834173	0.8475623	0.9009899	0.9080333	0.8936523	0.93412566	0.7012453	0.82776994	0.8401333	0.8325808	0.8048625	0.9092659	0.68462086	0.7900313	0.94550186	0.8540878	0.85369223	0.82339096	0.8218142	0.810232	0.68316543	0.84778744	0.7984706	0.8280087	0.8290367	0.83956426	0.9212826	0.8466639	0.7544577	0.82562125	0.8038551	0.8785458	0.91733617	0.9443315	0.88178885	0.8906118	0.85960674	0.9255241	0.8767193	0.84468323	0.8598258	0.94776684	0.8341964	0.83959186	0.838344	0.77413154	0.7884393	0.88936734	0.81996924	0.62336993	0.8936553	0.0	0.8620326	0.8829248	0.8172119	0.82481647	0.86115783	0.8156829	0.81647706	0.92709154	0.5636271	0.91222405	0.8534539	0.93254614	0.7560021	0.822601	0.8401468	0.7931354	0.90173817	0.81670094	0.87211746	0.8016056
klimaat/noun	0.89917237	0.8260294	0.8003896	0.86297506	0.8094295	0.8527237	0.86740994	0.7638121	0.77458525	0.68350756	0.9144512	0.8390521	0.7717124	0.809958	0.8211735	0.8628403	0.8078901	0.8646481	0.8010544	0.80033183	0.87678	0.7004887	0.7660393	0.7175761	0.72236234	0.7348658	0.76032233	0.6609762	0.64651656	0.8050517	0.8145088	0.7276563	0.86870384	0.8523181	0.8738624	0.7065215	0.7053015	0.8310701	0.920686	0.88841045	0.83535075	0.8738453	0.77340597	0.88161445	0.9081148	0.77377176	0.77579796	0.740175	0.8333458	0.8064968	0.75972104	0.8247618	0.7609285	0.80968165	0.8356463	0.8707284	0.83659357	0.8620326	0.0	0.7746794	0.8500886	0.7835179	0.80936456	0.7742356	0.80256057	0.8329462	0.79440874	0.8990966	0.85966897	0.85812664	0.8188408	0.8183007	0.7858492	0.69169396	0.8624848	0.79083383	0.79679257	0.7900222
kracht/noun	0.9403902	0.8206949	0.80079615	0.8858773	0.84087956	0.8536927	0.89284086	0.79278326	0.8481412	0.84822965	0.9183201	0.8869729	0.74897355	0.8712268	0.8546448	0.91803044	0.896942	0.8663984	0.8402296	0.84395206	0.91491175	0.71623147	0.862303	0.80079496	0.67337394	0.7862882	0.8269466	0.6041606	0.7662652	0.80308586	0.83102775	0.8414669	0.8490524	0.896205	0.9182534	0.7436695	0.8105999	0.837898	0.93146527	0.8902519	0.82707065	0.9126285	0.83271223	0.89089394	0.8962961	0.7723722	0.8827301	0.8731658	0.8570348	0.88702625	0.7663684	0.815539	0.8376346	0.83845156	0.8194623	0.9274177	0.8200773	0.8829248	0.7746794	0.0	0.880144	0.83621645	0.86193836	0.80581117	0.8040787	0.7697617	0.8181355	0.8891578	0.87342095	0.8158779	0.8012283	0.8705409	0.76309717	0.7796484	0.8656298	0.77655184	0.8270049	0.79039186
medisch/adj	0.8639539	0.8062129	0.8353338	0.9207159	0.90338904	0.8600399	0.81354594	0.8456198	0.8654343	0.8758829	0.8751507	0.9004877	0.7747754	0.8442076	0.9143195	0.87553334	0.52102	0.89009166	0.8581741	0.86636907	0.9185534	0.8281392	0.7987248	0.81639755	0.80661124	0.8172273	0.89977133	0.85197186	0.77479494	0.83714724	0.8055902	0.7481663	0.92983603	0.6742264	0.6992248	0.76403457	0.84428865	0.8835091	0.92450625	0.92248607	0.81599534	0.9204453	0.85874605	0.92081696	0.9314795	0.85733646	0.80171776	0.9245726	0.7593744	0.8755153	0.79333687	0.9003606	0.9149104	0.8853358	0.9008993	0.9002341	0.7849813	0.8172119	0.8500886	0.880144	0.0	0.79111993	0.80439377	0.6517089	0.89980376	0.9057709	0.85084295	0.8331909	0.78031224	0.8276046	0.83019125	0.80515814	0.7231444	0.811792	0.85145414	0.8694155	0.74747753	0.87993556
samenwerking/noun	0.70676005	0.86579734	0.8078993	0.8582655	0.95387757	0.8207023	0.86654484	0.83441454	0.81581616	0.8762396	0.89461565	0.9281287	0.8148887	0.77317107	0.8877068	0.6174581	0.781659	0.9259825	0.8662854	0.839772	0.9425338	0.8042469	0.8066072	0.75809336	0.8141391	0.8252471	0.8382126	0.7463419	0.76636636	0.75863504	0.81398153	0.8206736	0.90980244	0.80748224	0.76546	0.8334254	0.84283507	0.8786091	0.9203273	0.88921714	0.8955066	0.91984534	0.73873734	0.9436617	0.9123855	0.8840848	0.7258624	0.8925475	0.7630272	0.8306377	0.7350946	0.7964246	0.8725156	0.8924123	0.89961606	0.9120072	0.78833956	0.82481647	0.7835179	0.83621645	0.79111993	0.0	0.772116	0.7052289	0.8735015	0.8876793	0.8271775	0.87828135	0.82215565	0.83370686	0.8101485	0.79729867	0.69058543	0.7924547	0.80668634	0.85970706	0.87940574	0.90404594
alternatief/noun	0.9088021	0.8180864	0.85179245	0.91246676	0.8805459	0.86912215	0.88026446	0.82200205	0.8614505	0.8180514	0.9265494	0.87560284	0.83859205	0.8151883	0.89578927	0.853339	0.77086055	0.9105251	0.82213575	0.87317264	0.88781154	0.8625139	0.84989053	0.8051978	0.7969981	0.7934447	0.79767555	0.8394253	0.82762885	0.8615957	0.8671359	0.8450545	0.9231502	0.82249147	0.8541033	0.80957186	0.7560326	0.8957657	0.93766165	0.82833445	0.82523537	0.9492396	0.8337155	0.93320787	0.94891304	0.91362906	0.81832993	0.9041158	0.83789605	0.90651816	0.8204515	0.80446756	0.8051864	0.88121396	0.83730435	0.8450994	0.8239058	0.86115783	0.80936456	0.86193836	0.80439377	0.772116	0.0	0.6825533	0.86189336	0.86606497	0.84301776	0.87853175	0.8098601	0.83761626	0.7513545	0.7751007	0.816509	0.7443509	0.8651188	0.86833143	0.7681707	0.863745
toepassing/noun	0.8798811	0.7990694	0.8232658	0.92901933	0.87106943	0.8295479	0.86378306	0.7718815	0.8252414	0.8209808	0.89577967	0.84392935	0.7314034	0.77575696	0.9043698	0.82455826	0.6751077	0.8896191	0.79453677	0.85335517	0.8701966	0.7961714	0.766147	0.734879	0.64186406	0.77290446	0.79206836	0.7557983	0.69431436	0.77639437	0.8267006	0.8043314	0.9234459	0.7904343	0.7825854	0.725928	0.7518112	0.8502172	0.8862054	0.8814187	0.7407994	0.93699986	0.7969432	0.9085351	0.9370107	0.84049267	0.8055399	0.8974128	0.7369063	0.83543164	0.69156444	0.8800682	0.8158881	0.8207814	0.8257079	0.88067216	0.768756	0.8156829	0.7742356	0.80581117	0.6517089	0.7052289	0.6825533	0.0	0.83022815	0.7979545	0.8193486	0.83191943	0.7894177	0.81662333	0.7751206	0.8030895	0.63957596	0.6984927	0.80533636	0.8293191	0.7395648	0.82657415
wending/noun	0.85906065	0.8431889	0.82253563	0.86365396	0.9208462	0.87266105	0.88933593	0.70447326	0.77851665	0.85687494	0.88416266	0.87680465	0.77284837	0.886835	0.8263467	0.88873065	0.8636676	0.8703207	0.76876545	0.8404516	0.909943	0.8048036	0.8621802	0.73145974	0.76158553	0.6799923	0.7339193	0.73959506	0.7176671	0.86068225	0.82723856	0.79218674	0.88984036	0.8656223	0.88995993	0.7431987	0.7652823	0.79162794	0.89710236	0.90417933	0.8504763	0.8751035	0.90658206	0.9266479	0.8117446	0.79400337	0.86971223	0.84227693	0.9024281	0.90698814	0.7132192	0.87845385	0.73242015	0.84833896	0.8138561	0.7884902	0.8934859	0.81647706	0.80256057	0.8040787	0.89980376	0.8735015	0.86189336	0.83022815	0.0	0.73739535	0.7837174	0.8572312	0.8616805	0.8602381	0.7934478	0.8888295	0.86543036	0.71049	0.8984234	0.8192041	0.8420719	0.7256479
muziek/noun	0.8654767	0.83805877	0.8306776	0.95063186	0.888787	0.8216585	0.8600295	0.7114346	0.75717336	0.8055973	0.9657413	0.81920624	0.78347015	0.95126724	0.9046578	0.9482946	0.91267926	0.8976992	0.82190263	0.8847071	0.8201712	0.7733386	0.84246117	0.8325875	0.73468554	0.7524766	0.76455736	0.6722747	0.7952657	0.78150094	0.8248905	0.9548844	0.9249221	0.92051584	0.95486677	0.83813596	0.81769097	0.78304243	0.8425524	0.9253925	0.8323266	0.9433283	0.9053069	0.91870093	0.9484796	0.8600242	0.926796	0.877641	0.92466927	0.94326407	0.78778595	0.93358207	0.78651845	0.804361	0.7658864	0.9023306	0.88725436	0.92709154	0.8329462	0.7697617	0.9057709	0.8876793	0.86606497	0.7979545	0.73739535	0.0	0.84323287	0.78973496	0.8197784	0.717388	0.8247313	0.9131838	0.8519224	0.7614447	0.8792858	0.78760016	0.74823517	0.74014366
dat/det	0.8762276	0.81622154	0.8338913	0.87299186	0.9255868	0.8951918	0.862562	0.7848289	0.8399687	0.862846	0.8829796	0.90138656	0.5996071	0.810796	0.8493924	0.8579568	0.8186578	0.8508846	0.6445417	0.7965464	0.91486055	0.859916	0.85078967	0.7985332	0.75569075	0.7593927	0.62415373	0.7720414	0.7617694	0.85849595	0.6877321	0.8383927	0.86128247	0.87360007	0.8502357	0.77817607	0.7424127	0.7884731	0.89525855	0.92065907	0.8591877	0.8773015	0.81850255	0.94758964	0.82043374	0.8028367	0.82932574	0.8972234	0.8241299	0.80884475	0.77708685	0.8525804	0.72194505	0.87019783	0.81040776	0.5276321	0.8731525	0.5636271	0.79440874	0.8181355	0.85084295	0.8271775	0.84301776	0.8193486	0.7837174	0.84323287	0.0	0.8819533	0.83631086	0.8551664	0.7666005	0.82591516	0.84588385	0.77891064	0.8792565	0.8215014	0.8500604	0.7316861
les/noun	0.83168703	0.862603	0.8412857	0.9116721	0.9468767	0.7840352	0.8349646	0.84577465	0.834045	0.8905321	0.9032472	0.87872934	0.8347402	0.9134057	0.91639346	0.8859843	0.8383109	0.8800143	0.8391399	0.86752826	0.8816171	0.85797554	0.90147096	0.8727969	0.8440047	0.82265216	0.8561156	0.85569984	0.84343123	0.81496936	0.8721888	0.90029	0.91806155	0.82138646	0.9042703	0.8856204	0.8808309	0.8522044	0.89453554	0.9458198	0.893512	0.93523467	0.9149908	0.95031273	0.91352904	0.89417076	0.8938322	0.89937806	0.8448812	0.95152235	0.8559199	0.93627495	0.88139766	0.89214826	0.81652915	0.9129776	0.85852623	0.91222405	0.8990966	0.8891578	0.8331909	0.87828135	0.87853175	0.83191943	0.8572312	0.78973496	0.8819533	0.0	0.87047577	0.8229228	0.8436075	0.885717	0.8623703	0.86331236	0.8829381	0.8465301	0.7992183	0.8751971
ander/adj	0.8606086	0.7681761	0.84701174	0.92111164	0.8628371	0.8708641	0.8505667	0.7846653	0.8539722	0.81706625	0.91268146	0.87145317	0.6504884	0.8926817	0.91237414	0.86341214	0.82844925	0.89668185	0.8598622	0.87880445	0.8751963	0.8032597	0.8114023	0.80393785	0.73965883	0.83914363	0.904171	0.8099462	0.7983086	0.80478275	0.804039	0.88538814	0.93038934	0.8866874	0.8752488	0.86173457	0.8437498	0.80869144	0.8843412	0.85707736	0.84643203	0.9182484	0.814536	0.89767605	0.9502482	0.8695658	0.87582695	0.92424816	0.82667935	0.91437733	0.81283134	0.8707628	0.9071858	0.79058564	0.8455893	0.9311797	0.80571574	0.8534539	0.85966897	0.87342095	0.78031224	0.82215565	0.8098601	0.7894177	0.8616805	0.8197784	0.83631086	0.87047577	0.0	0.8476459	0.8258107	0.8318411	0.8206066	0.8447437	0.809047	0.8094666	0.6861596	0.8318583
werk/noun	0.8171667	0.84485483	0.8568307	0.92138934	0.91934395	0.86601526	0.86425173	0.74445784	0.7639334	0.83169734	0.9112235	0.88085	0.8196228	0.87105715	0.9120523	0.84343684	0.8052448	0.92275816	0.86424524	0.88666403	0.91767776	0.8711848	0.8440947	0.8214816	0.82099926	0.78975666	0.8354242	0.8081824	0.78394246	0.86714953	0.8457718	0.90495896	0.91636777	0.8377996	0.8663788	0.86943734	0.82378757	0.8316747	0.86417353	0.87541234	0.86718506	0.9249265	0.8935569	0.958898	0.93793064	0.9004752	0.76376593	0.86264986	0.848279	0.9146369	0.78140146	0.9187586	0.831209	0.8750746	0.8540771	0.9119681	0.77377576	0.93254614	0.85812664	0.8158779	0.8276046	0.83370686	0.83761626	0.81662333	0.8602381	0.717388	0.8551664	0.8229228	0.8476459	0.0	0.84062755	0.87424153	0.7849988	0.772772	0.86437863	0.8703536	0.8110775	0.828584
suggestie/noun	0.7983635	0.8019004	0.8252442	0.87979174	0.89176595	0.8183067	0.85173637	0.78698665	0.8410762	0.84164476	0.93010545	0.8731078	0.7166172	0.841258	0.86189926	0.82800055	0.81217706	0.85550857	0.79104024	0.66250545	0.86262465	0.82160395	0.8112722	0.7749952	0.7791244	0.75452703	0.7789782	0.76433843	0.8173934	0.79634905	0.8338945	0.8520295	0.9087159	0.6937267	0.76740015	0.80835783	0.8129518	0.8381375	0.8965283	0.914835	0.86044097	0.910115	0.88533604	0.9005015	0.9051828	0.8475497	0.8710389	0.9208043	0.8273532	0.89308214	0.7591992	0.7539586	0.78906506	0.8437814	0.729362	0.82888246	0.8146906	0.7560021	0.8188408	0.8012283	0.83019125	0.8101485	0.7513545	0.7751206	0.7934478	0.8247313	0.7666005	0.8436075	0.8258107	0.84062755	0.0	0.8402974	0.8097818	0.74564946	0.8843656	0.80787915	0.7685828	0.806495
compensatie/noun	0.89041924	0.8106897	0.86169416	0.9032888	0.8683218	0.8609921	0.9022089	0.86355066	0.87222916	0.8488556	0.8659795	0.88554454	0.7721729	0.57385325	0.89807975	0.7830641	0.7461909	0.8541608	0.8966676	0.859483	0.8806145	0.83526087	0.872498	0.79484046	0.8473875	0.8257009	0.87660354	0.82058233	0.86754906	0.84164554	0.819257	0.7217842	0.88254416	0.8163925	0.8325996	0.74182296	0.8038106	0.90498453	0.9404491	0.90393174	0.88733685	0.92696327	0.81452024	0.9159287	0.90784496	0.8444855	0.7151272	0.8701617	0.70854205	0.71028256	0.8013499	0.8434435	0.87389207	0.8943977	0.8910191	0.92784244	0.81211126	0.822601	0.8183007	0.8705409	0.80515814	0.79729867	0.7751007	0.8030895	0.8888295	0.9131838	0.82591516	0.885717	0.8318411	0.87424153	0.8402974	0.0	0.8552427	0.8462032	0.8774239	0.8760214	0.7570332	0.87898743
werking/noun	0.89073575	0.82008475	0.85058355	0.90218407	0.87164384	0.8603605	0.8804554	0.80273676	0.82563806	0.8032656	0.9137807	0.8761357	0.76638263	0.82736635	0.9076646	0.8289887	0.7238396	0.8987207	0.8003564	0.85664827	0.89082605	0.7504346	0.701342	0.7739272	0.676486	0.7884128	0.8382883	0.7137487	0.6849394	0.8306383	0.80494636	0.8147978	0.93386316	0.7740972	0.7599593	0.65437436	0.8265416	0.84491664	0.9106506	0.8915548	0.74582237	0.9379388	0.82456696	0.8996682	0.9409391	0.8559257	0.81620383	0.8992833	0.8079454	0.8453804	0.68726385	0.87380373	0.85496294	0.86259013	0.8745147	0.93928874	0.7216462	0.8401468	0.7858492	0.76309717	0.7231444	0.69058543	0.816509	0.63957596	0.86543036	0.8519224	0.84588385	0.8623703	0.8206066	0.7849988	0.8097818	0.8552427	0.0	0.7605355	0.81905854	0.8572084	0.7786942	0.8502765
zeer/adv	0.8162943	0.79630697	0.8285895	0.8777939	0.8574328	0.8399282	0.82797843	0.34420836	0.7909348	0.7354667	0.8815442	0.8392684	0.7617401	0.8465433	0.8378488	0.84281784	0.76113486	0.8506714	0.62702435	0.7799121	0.84850436	0.77509916	0.7813681	0.75962204	0.6395271	0.38860053	0.49208224	0.736532	0.69563913	0.8130164	0.8487771	0.7673279	0.87877804	0.81275713	0.8522886	0.7208836	0.4326942	0.69852257	0.89222884	0.89588565	0.8158854	0.90097725	0.83393985	0.8975565	0.83532566	0.82711613	0.79939264	0.78271055	0.8727784	0.86892927	0.68424916	0.8331522	0.26277906	0.81228876	0.783045	0.76312846	0.84215	0.7931354	0.69169396	0.7796484	0.811792	0.7924547	0.7443509	0.6984927	0.71049	0.7614447	0.77891064	0.86331236	0.8447437	0.772772	0.74564946	0.8462032	0.7605355	0.0	0.81952965	0.82154536	0.7901206	0.7762282
cluster/noun	0.8978857	0.8775302	0.86161596	0.91764754	0.8906906	0.90321743	0.8989131	0.8296566	0.82619375	0.82524174	0.9250872	0.8938774	0.822152	0.88186944	0.91053987	0.892096	0.88274175	0.9092966	0.8610998	0.9233684	0.9085085	0.8771419	0.84783465	0.8386523	0.816735	0.84088963	0.85855645	0.8012489	0.8167152	0.858472	0.8322607	0.8993128	0.9263873	0.8854215	0.8609385	0.8634376	0.8607249	0.8595202	0.9096515	0.9037533	0.8640355	0.9354917	0.8567306	0.9189455	0.94911546	0.87383056	0.87024444	0.86265945	0.89216137	0.9171398	0.84015065	0.8950434	0.88594514	0.8628317	0.9049646	0.9192796	0.82329106	0.90173817	0.8624848	0.8656298	0.85145414	0.80668634	0.8651188	0.80533636	0.8984234	0.8792858	0.8792565	0.8829381	0.809047	0.86437863	0.8843656	0.8774239	0.81905854	0.81952965	0.0	0.8900625	0.85527	0.8784043
christendom/noun	0.8888013	0.8245841	0.7955475	0.9122287	0.90434414	0.8305509	0.85284936	0.8385123	0.8270495	0.8497088	0.9487965	0.88355	0.74334717	0.91227806	0.89115065	0.904464	0.8966364	0.900838	0.84193707	0.8047648	0.90765536	0.7490266	0.8819696	0.8266942	0.7942739	0.831551	0.8551714	0.7765278	0.74691343	0.82419825	0.81826997	0.89198613	0.9183922	0.9119167	0.89716625	0.8849399	0.8374126	0.84939325	0.88272125	0.9170942	0.8245772	0.9019786	0.87881726	0.89891684	0.9185628	0.8375224	0.8982437	0.8804031	0.83225375	0.8917756	0.839422	0.81152856	0.8808242	0.81344265	0.77543926	0.89633113	0.8267425	0.81670094	0.79083383	0.77655184	0.8694155	0.85970706	0.86833143	0.8293191	0.8192041	0.78760016	0.8215014	0.8465301	0.8094666	0.8703536	0.80787915	0.8760214	0.8572084	0.82154536	0.8900625	0.0	0.8070907	0.7384864
of/vg	0.8704633	0.65784216	0.83142257	0.9230939	0.647805	0.8173518	0.86792207	0.79893184	0.81707036	0.7596075	0.89665335	0.6669489	0.7270824	0.86179173	0.87371993	0.90675354	0.73986626	0.8005685	0.8204333	0.8702667	0.6105858	0.77976406	0.8077428	0.7995947	0.686355	0.79521495	0.81009185	0.8208356	0.806411	0.80034184	0.76529527	0.7843411	0.9132087	0.83854806	0.89124256	0.7488214	0.7651759	0.80955386	0.8416927	0.80136263	0.72266674	0.899093	0.865188	0.78827846	0.93286985	0.812955	0.84154904	0.86313474	0.81507	0.9003832	0.8069313	0.8891222	0.8102851	0.7802689	0.74729395	0.9008762	0.8214294	0.87211746	0.79679257	0.8270049	0.74747753	0.87940574	0.7681707	0.7395648	0.8420719	0.74823517	0.8500604	0.7992183	0.6861596	0.8110775	0.7685828	0.7570332	0.7786942	0.7901206	0.85527	0.8070907	0.0	0.8096594
werkelijkheid/noun	0.8902782	0.82453734	0.8405967	0.9063254	0.8992872	0.88177407	0.8708367	0.7855201	0.81765217	0.77775496	0.9646297	0.86388904	0.6793237	0.918607	0.84982395	0.91648793	0.8830568	0.90452015	0.68642956	0.8637588	0.91879034	0.83213323	0.8478544	0.7976277	0.7549823	0.7513732	0.70488906	0.7277794	0.73298675	0.85425305	0.8161068	0.86758035	0.9136387	0.91732854	0.91741234	0.81440157	0.7886087	0.8423519	0.87484187	0.91277546	0.82520497	0.89509237	0.86414593	0.93245995	0.8971667	0.823057	0.9068101	0.8689134	0.8632048	0.87708366	0.7739082	0.8747815	0.78369445	0.7395313	0.8031339	0.81271434	0.87269104	0.8016056	0.7900222	0.79039186	0.87993556	0.90404594	0.863745	0.82657415	0.7256479	0.74014366	0.7316861	0.8751971	0.8318583	0.828584	0.806495	0.87898743	0.8502765	0.7762282	0.8784043	0.7384864	0.8096594	0.0
